id,Smiles,Tg,Tm,Eg
4494,[*]Oc1ccc(cc1)OC(=O)c1c(cc(c(c1)OCCCCCOCC1N(CCC1)c1ccc(cc1)[N+](=O)[O-])C(=O)[*])OCCCCCOCC1N(CCC1)c1ccc(cc1)[N+](=O)[O-],63.0,,
11980,[*]C(S1)=CC=C1C(S2)=CC=C2OC(=S)[*],,,2.4847
3057,[*]Oc1c(cc(cc1)C1(c2ccccc2c2ccccc12)c1cc(c(cc1)Oc1ccc(cc1)C(=O)c1cc(ccc1)C(=O)c1ccc(cc1)[*])C)C,217.0,,
3191,[*]c1c([nH]c(n1)c1cc(ccc1)c1[nH]c(c(n1)c1ccc(cc1)Oc1ccc(cc1)C(=O)c1ccc(cc1)Oc1ccc(cc1)[*])c1ccccc1)c1ccccc1,279.0,,
5688,[*]N1C(=O)c2c(C1=O)c(ccc2)c1cc2c(C(=O)N(C2=O)c2ccc(cc2)OCCCOc2ccc(cc2)[*])cc1,237.5,,
11291,[*]NC(CC([*])=O)C(=O)OC,,,5.61
5122,[*]c1cc2c(C(=O)N(C2=O)c2ccc(cc2)Oc2c(cc(cc2)Oc2ccc(cc2)N2C(=O)c3c(C2=O)cc(cc3)C(=O)Nc2ccc(cc2)Oc2ccc(cc2)C2(c3c(C(=O)N2)cccc3)c2ccc(cc2)Oc2ccc(cc2)NC(=O)[*])C)cc1,293.0,,
7491,[*]NC(=O)Cc1ccc(cc1)CC(=O)NCCCCCCCCCCCC[*],,256.0,
5940,[*]N1C(=O)c2c(C1=O)c(ccc2)Oc1cc2c(C(=O)N(C2=O)c2ccc(cc2)Oc2ccc(cc2)Oc2ccc(cc2)[*])cc1,249.0,,
4359,[*]Oc1c(cc(c(c1)C(c1ccccc1)(C)C)OC(=O)c1cc(ccc1)C(=O)[*])C(c1ccccc1)(C)C,180.0,,
120,[*]C(C[*])c1ccc(cc1)C(=O)OCC(C)C,90.0,,
8525,[*]Oc1ccc(cc1)C(c1ccc(cc1)OC(=S)c1cc(ccc1)C(=S)[*])(C)C,,152.0,
1682,[*]c1cc2c(C(=O)N(C2=O)c2cc(ccc2)C(=O)c2ccc(cc2)Cc2ccc(cc2)N2C(=O)c3c(C2=O)cc(cc3)C(=O)[*])cc1,290.0,,
3562,[*]c1oc(nc1)c1cc(c(cc1)Oc1ccc(cc1)S(=O)(=O)c1ccc(cc1)Oc1c(cc(cc1)[*])C(F)(F)F)C(F)(F)F,210.0,,
8337,[*]Oc1c(cc(c(c1)OC(=O)c1ccc(cc1)OCC)OC(=O)c1ccc(cc1)OC(=O)CCCCCCC(=O)Oc1ccc(cc1)C(=O)[*])OC(=O)c1ccc(cc1)OCC,,142.3,
11004,[*]c1ccc(-c2ccc(-c3nc(CCCCCCCCCCCC)c(-c4sc([*])nc4CCCCCCCCCCCC)s3)s2)s1,,,2.2184
3009,[*]c1c2c(c(nn1)c1ccc(cc1)Oc1ccc(cc1)C1(c3ccccc3c3ccccc13)c1ccc(cc1)Oc1ccc(cc1)[*])c(c(c(c2c1ccc(cc1)F)c1ccc(cc1)F)c1ccc(cc1)F)c1ccc(cc1)F,311.33,,
1691,[*]c1cc2c(C(=O)N(C2=O)c2ccc(cc2)C(=O)c2ccc(cc2)C(=O)c2ccc(cc2)N2C(=O)c3c(C2=O)cc(cc3)C(=O)[*])cc1,286.0,,
4002,[*]C1=CC(=C(C#N)C#N)C=C(O1)C=Cc1sc(c(c1CCCCCC)CCCCCC)c1sc(cc1)c1sc(c(c1CCCCCC)CCCCCC)C=C[*],114.0,,
1296,[*]C1(c2c(C(=O)N1C)cccc2)c1ccc(cc1)OC(=O)c1ccc(cc1)C(=O)Oc1ccc(cc1)[*],282.0,400.0,
6789,[*]S(=O)(=O)NCCNS(=O)(=O)c1cc(ccc1)[*],107.0,216.0,
96,[*]C(C[*])c1ccc(cc1)C(CCC)(O)C,130.0,,
6010,[*]c1cc2c(C(=O)N(C2=O)c2ccc(cc2)NC(=O)Nc2ccc(cc2)N2C(=O)c3c(C2=O)cc(cc3)C(=O)Nc2cc3Cc4c(c3cc2)ccc(c4)NC(=O)[*])cc1,224.0,,
11886,[*]N=NNc1ccc(NN=Nc2ccc([*])cc2)cc1,,,1.9731
2525,[*]C(C[*])C(=O)OCCCCCCOc1cc(c(cc1)C=Nc1ccc(cc1)OCCCCC)O,36.0,,
4438,[*]OC(=O)CCCCCCCCC(=O)OCC#CC(=Cc1ccc(cc1)C#Cc1ccc(cc1)C=C(C#Cc1ccccc1)C#Cc1ccccc1)C#CC[*],60.0,,
1998,[*]O[Si]([*])(CCC(F)(F)F)C,-69.94,16.7,
2163,[*]C(C(CCCCC[*])c1ccc(cc1)O)c1c(cc(cc1)O)C,16.0,,
11657,[*]CC(OC(=O)OCC)C(COC(=O)O[*])OC(=O)OCC,,,7.1757
128,[*]C(C[*])c1ccc(cc1)C(=O)c1ccccc1,98.0,,
3886,[*]Oc1c(cc(cc1)Oc1ccc(cc1)C(=O)c1ccc(cc1)[*])c1ccc(cc1)Oc1ccccc1,146.0,,
6685,[*]O[Si]([*])(OCCOCCOCCOCCOCCOCCOCCOCCOC)C,-78.0,,
5062,[*]c1cc2c(C(=O)N(C2=O)c2c(cc(c(c2)N2C(=O)c3c(C2=O)cc(cc3)C(=O)[*])O)O)cc1,324.0,,
7714,[*]OC(=O)CC(CC(=O)OCCCCCCCCCCCCCCCCCCCC[*])c1ccc(cc1)[N+](=O)[O-],,44.0,
3676,[*]Oc1ccc(cc1)C(=O)OCCN(CCOC(=O)c1ccc(cc1)OCC#CC#CC[*])c1ccc(cc1)[N+](=O)[O-],100.0,,
6724,[*][Si](CCC[*])(O[Si](CCCOc1ccc(cc1)C#N)(C)C)C,-45.5,,
3540,[*]Oc1ccc(cc1)S(=O)(=O)c1ccc(cc1)Oc1ccc(cc1)C1(CCCCCC1)c1ccc(cc1)Oc1ccc(cc1)S(=O)(=O)c1ccc(cc1)Oc1ccc(cc1)C=C1C(=O)C(=Cc2ccc(cc2)[*])CCCC1,196.0,,
11794,[*]Nc1ccc([*])cc1OCCCCS(=O)(=O)O,,,3.2606
10380,[*]C=C([*])c1cccc(Br)c1,,,0.2843
9686,[*]CCCCCCCCCCCCCCCCCCCCOC(=O)CCCC(=O)O[*],,,6.5682
8036,[*]OC(=O)c1ccc(cc1)C(=O)NCCCCCCCCCCCCNC(=O)c1ccc(cc1)C(=O)OCCCCCCCCCCCC[*],,196.925,
8495,[*]Oc1ccc(cc1)C(=O)OCCCCCCOC(=O)C[*],,50.0,
224,[*]C(C([*])(F)F)(OC(C(C(C(F)(F)F)(F)F)(F)F)(F)F)F,-10.0,,
7037,[*]C(C[*])CC(F)(F)F,,263.0,
3732,[*]Oc1c(cc(cc1)Oc1ccc(cc1)C(=O)c1ccc(cc1)C(=O)c1ccc(cc1)[*])c1cc(c(cc1)Cl)C(F)(F)F,147.0,,
3961,[*]Oc1ccc(cc1)Oc1ccc(cc1)NC(=O)c1cc(cc(c1)C(C)(C)C)C(=O)Nc1ccc(cc1)[*],195.5,,
553,[*]C(C[*])C(C(C(F)(F)F)(F)F)(F)F,58.0,,
12199,[*]NC(=O)C(S1)=CC=C1O[*],,,4.3505
5216,[*]N1C(=O)c2c(C1=O)cc(cc2)Oc1ccc(cc1)c1ccc(cc1)Oc1cc2c(C(=O)N(C2=O)c2ccc(cc2)Oc2ccc(cc2)Oc2ccc(cc2)Oc2ccc(cc2)[*])cc1,212.0,290.0,
10995,[*]c1ccc(-c2ccc(-c3ccc([*])n3-c3c(F)c(F)c(F)c(F)c3F)s2)s1,,,2.5698
5133,[*]c1cc2c(C(=O)N(C2=O)c2ccc(cc2)C(=O)OCCCCCCOC(=O)[*])cc1,80.5,221.425,
4378,[*]Oc1cc(ccc1)NC(=O)c1ccc(cc1)[Si](c1ccc(cc1)C(=O)[*])(C)C,220.0,,
645,[*]Oc1ccc(cc1)C(=O)OC(=O)c1ccc(cc1)OCCC[*],95.0,265.75,
11088,[*]CCCCCCCCCOC(=O)c1ccc(NC(=O)CCCCCCCCC(=O)Nc2ccc(C(=O)O[*])cc2)cc1,,,4.1632
7907,[*]OC(=O)NCCCCCC(=O)OCCCC[*],,83.0,
5253,[*]c1cc2c(C(=O)N(C2=O)c2cc(cc(c2)C(=O)c2ccccc2)N2C(=O)c3c(C2=O)cc(cc3)C(=O)[*])cc1,282.0,,
9512,[*]C1OC(C(F)(F)F)(C(F)(F)F)OC1([*])F,,,8.2782
